epoch,learning_rate,loss,val_loss
0,0.0010000000474974513,1.2219738960266113,3.3662309646606445
1,0.0010000000474974513,0.694115161895752,2.482269048690796
2,0.0010000000474974513,0.6009902358055115,2.0118744373321533
3,0.0010000000474974513,0.553313672542572,1.8351129293441772
4,0.0010000000474974513,0.5197853446006775,1.6092947721481323
5,0.0010000000474974513,0.4585038721561432,1.7303754091262817
6,0.0010000000474974513,0.46854278445243835,1.575755000114441
7,0.0010000000474974513,0.49441513419151306,1.99431574344635
8,0.0010000000474974513,0.4774570167064667,1.5135393142700195
9,0.0010000000474974513,0.40802374482154846,1.5377930402755737
10,0.0010000000474974513,0.41130387783050537,1.3872586488723755
11,0.0010000000474974513,0.4060403108596802,1.489528775215149
12,0.0010000000474974513,0.4007912874221802,1.3649888038635254
13,0.0010000000474974513,0.3731660544872284,1.3722161054611206
14,0.0010000000474974513,0.40249574184417725,1.4661598205566406
15,0.0010000000474974513,0.39844560623168945,1.6053358316421509
16,0.0010000000474974513,0.36469897627830505,1.4050350189208984
17,0.0010000000474974513,0.3817947208881378,1.2861398458480835
18,0.0010000000474974513,0.34994688630104065,1.3045440912246704
19,0.0010000000474974513,0.31517499685287476,1.2375271320343018
20,0.0010000000474974513,0.3243591785430908,1.1814051866531372
21,0.0010000000474974513,0.3131076991558075,1.2586098909378052
22,0.0010000000474974513,0.30934378504753113,1.197243094444275
23,0.0010000000474974513,0.31457576155662537,1.1698607206344604
24,0.0010000000474974513,0.34348633885383606,1.2087342739105225
25,0.0010000000474974513,0.3256637156009674,1.2795945405960083
26,0.0010000000474974513,0.3085426986217499,1.201595425605774
27,0.0010000000474974513,0.2857499122619629,1.1356860399246216
28,0.0010000000474974513,0.31561315059661865,1.1559079885482788
29,0.0010000000474974513,0.31263267993927,1.117388367652893
30,0.0010000000474974513,0.30079659819602966,1.161134958267212
31,0.0010000000474974513,0.2731268107891083,1.144525170326233
32,0.0010000000474974513,0.2685231864452362,1.0674208402633667
33,0.0010000000474974513,0.27803313732147217,1.0340802669525146
34,0.0010000000474974513,0.2657037079334259,1.0390921831130981
35,0.0010000000474974513,0.26985564827919006,1.0461859703063965
36,0.0010000000474974513,0.26316335797309875,0.9909548163414001
37,0.0010000000474974513,0.2777973413467407,1.0701977014541626
38,0.0010000000474974513,0.2704877555370331,1.0591908693313599
39,0.0010000000474974513,0.27021679282188416,1.1053978204727173
40,0.0010000000474974513,0.2811879813671112,0.9917215704917908
41,0.0010000000474974513,0.2602386772632599,1.032535433769226
42,0.0005000000237487257,0.21670851111412048,0.8727484345436096
43,0.0005000000237487257,0.1984683722257614,0.8430644869804382
44,0.0005000000237487257,0.1816704124212265,0.8203776478767395
45,0.0005000000237487257,0.18962596356868744,0.8161219954490662
46,0.0005000000237487257,0.1934455782175064,0.8079609870910645
47,0.0005000000237487257,0.18985451757907867,0.8042728304862976
48,0.0005000000237487257,0.1913074404001236,0.81598299741745
49,0.0005000000237487257,0.18470947444438934,0.7701327800750732
50,0.0005000000237487257,0.1782340407371521,0.764899730682373
51,0.0005000000237487257,0.20391185581684113,0.8287909626960754
52,0.0005000000237487257,0.18814301490783691,0.7924497127532959
53,0.0005000000237487257,0.19095590710639954,0.8065611720085144
54,0.0005000000237487257,0.17792277038097382,0.7412942051887512
55,0.0005000000237487257,0.17428836226463318,0.7431972026824951
56,0.0005000000237487257,0.16961991786956787,0.7461180090904236
57,0.0005000000237487257,0.18567517399787903,0.767516553401947
58,0.0005000000237487257,0.17043690383434296,0.7975735664367676
59,0.0005000000237487257,0.17615856230258942,0.7816101908683777
60,0.0002500000118743628,0.1571979820728302,0.7084994912147522
61,0.0002500000118743628,0.1574350893497467,0.6956474184989929
62,0.0002500000118743628,0.15080244839191437,0.7091687321662903
63,0.0002500000118743628,0.14459128677845,0.680237352848053
64,0.0002500000118743628,0.15447267889976501,0.7096078991889954
65,0.0002500000118743628,0.14818735420703888,0.6743996143341064
