epoch,loss,val_loss
0,1.0333517789840698,NA
1,0.5965633392333984,NA
2,0.49761879444122314,NA
3,0.40680962800979614,NA
4,0.43470701575279236,NA
5,0.417179137468338,NA
6,0.325052946805954,NA
7,0.335705429315567,NA
8,0.29099276661872864,NA
9,0.3492690622806549,NA
10,0.37341880798339844,NA
11,0.3484021723270416,NA
12,0.3311757743358612,NA
13,0.29927918314933777,NA
14,0.25359442830085754,NA
15,0.23877274990081787,NA
16,0.284347802400589,NA
17,0.24630139768123627,NA
18,0.2360747903585434,NA
19,0.2762435972690582,NA
20,0.28108924627304077,NA
21,0.2390211820602417,NA
22,0.2590256333351135,NA
23,0.2420484721660614,NA
24,0.26122304797172546,NA
25,0.22278064489364624,NA
26,0.21769535541534424,NA
27,0.20830072462558746,NA
28,0.2177264243364334,NA
29,0.2387700378894806,NA
30,0.23032595217227936,NA
31,0.23039710521697998,NA
32,0.20672951638698578,NA
33,0.23529453575611115,NA
34,0.16893135011196136,NA
35,0.22248809039592743,NA
36,0.20457448065280914,NA
37,0.23857110738754272,NA
38,0.2212672233581543,NA
39,0.226044163107872,NA
40,0.23440857231616974,NA
41,0.22921212017536163,NA
42,0.20814739167690277,NA
43,0.1976003646850586,NA
44,0.16528312861919403,NA
45,0.20275729894638062,NA
46,0.16676387190818787,NA
47,0.21718427538871765,NA
48,0.19610732793807983,NA
49,0.19748133420944214,NA
50,0.18025633692741394,NA
51,0.1868147999048233,NA
52,0.2276930809020996,NA
53,0.19026876986026764,NA
54,0.1677042692899704,NA
55,0.18727125227451324,NA
56,0.18281830847263336,NA
57,0.19309736788272858,NA
58,0.1790619045495987,NA
59,0.17184370756149292,NA
60,0.1938968300819397,NA
61,0.16367827355861664,NA
62,0.17909377813339233,NA
63,0.19241999089717865,NA
64,0.18226569890975952,NA
65,0.16137120127677917,NA
66,0.16762247681617737,NA
67,0.17696301639080048,NA
68,0.16971169412136078,NA
69,0.1889577955007553,NA
70,0.16441917419433594,NA
71,0.15342074632644653,NA
72,0.17612482607364655,NA
73,0.1645146608352661,NA
74,0.19255825877189636,NA
75,0.19791971147060394,NA
76,0.1959090530872345,NA
77,0.18267585337162018,NA
78,0.18664683401584625,NA
79,0.17995284497737885,NA
80,0.1644325852394104,NA
81,0.164488285779953,NA
82,0.17294390499591827,NA
83,0.15925666689872742,NA
84,0.15652650594711304,NA
85,0.16536906361579895,NA
86,0.142523393034935,NA
87,0.16852359473705292,NA
88,0.16309964656829834,NA
89,0.12689916789531708,NA
90,0.15382279455661774,NA
91,0.165479838848114,NA
92,0.15182270109653473,NA
93,0.17496584355831146,NA
94,0.15422068536281586,NA
95,0.14099480211734772,NA
96,0.14226368069648743,NA
97,0.11586494743824005,NA
98,0.15254093706607819,NA
99,0.13164609670639038,NA
