epoch,amp_delta_out_loss,amp_delta_out_mae,aoa_xy_out_loss,aoa_xy_out_mae,class_out_acc,class_out_loss,final_xy_out_loss,final_xy_out_mae,learning_rate,loss,presence_out_acc,presence_out_loss,val_amp_delta_out_loss,val_amp_delta_out_mae,val_aoa_xy_out_loss,val_aoa_xy_out_mae,val_class_out_acc,val_class_out_loss,val_final_xy_out_loss,val_final_xy_out_mae,val_loss,val_presence_out_acc,val_presence_out_loss
0,0.06694908440113068,0.3413141369819641,0.7059672474861145,1.8380329608917236,0.25,1.9035769701004028,0.7069982290267944,1.8426412343978882,4.999999873689376e-05,3.8910036087036133,0.6666666865348816,0.7155786752700806,0.07764039188623428,0.36547693610191345,0.3077462315559387,1.0341168642044067,0.6330798268318176,0.7224122881889343,0.31017929315567017,1.0415802001953125,1.8092750310897827,0.7585551142692566,0.551916241645813
1,0.04573391377925873,0.2947055697441101,0.3314269185066223,1.316089391708374,0.5833333134651184,0.7338408827781677,0.3321363925933838,1.3189387321472168,4.999999873689376e-05,1.843854308128357,0.6666666865348816,0.6529105305671692,0.0710429921746254,0.3557625412940979,0.25366947054862976,0.9827307462692261,0.8859315514564514,0.20572979748249054,0.2568311393260956,0.9902240633964539,1.0952105522155762,0.7585551142692566,0.4342644512653351
2,0.05092358589172363,0.2829071283340454,0.21142543852329254,1.0659856796264648,0.8500000238418579,0.1588849127292633,0.21208466589450836,1.0685780048370361,4.999999873689376e-05,1.009027361869812,0.6666666865348816,0.4892551004886627,0.06639107316732407,0.35056325793266296,0.18366481363773346,0.8100309371948242,0.9904943108558655,0.0692187026143074,0.18508270382881165,0.8147021532058716,0.7280170321464539,0.7585551142692566,0.33237770199775696
3,0.04536852613091469,0.26769664883613586,0.16277511417865753,0.8016706705093384,0.8500000238418579,0.14086803793907166,0.16302314400672913,0.8022022843360901,4.999999873689376e-05,0.764053225517273,0.6666666865348816,0.4901380240917206,0.06527359783649445,0.34783533215522766,0.13971810042858124,0.6791595816612244,1.0,0.03659967705607414,0.14019177854061127,0.681414008140564,0.5379667282104492,0.7585551142692566,0.23970246315002441
4,0.04512614384293556,0.291890949010849,0.09449583292007446,0.5877369046211243,0.9833333492279053,0.04423881694674492,0.09478037059307098,0.5893984436988831,4.999999873689376e-05,0.4865627884864807,0.6666666865348816,0.3470260500907898,0.06306442618370056,0.3422987163066864,0.10874345153570175,0.5448690056800842,1.0,0.02554803341627121,0.10915718227624893,0.5464652180671692,0.40703025460243225,0.7585551142692566,0.15549559891223907
5,0.04231199249625206,0.2590734362602234,0.06913091987371445,0.41588592529296875,1.0,0.04007278382778168,0.06903543323278427,0.4168201684951782,4.999999873689376e-05,0.34574827551841736,0.6666666865348816,0.2587195038795471,0.06106632947921753,0.33559396862983704,0.05395098775625229,0.33642852306365967,1.0,0.02144598215818405,0.05491640418767929,0.33978748321533203,0.23368842899799347,0.8802281618118286,0.09069185703992844
6,0.03666547313332558,0.2314954698085785,0.03095242753624916,0.2556454837322235,0.9833333492279053,0.038555219769477844,0.03108595311641693,0.25704625248908997,4.999999873689376e-05,0.21951571106910706,0.7166666388511658,0.17308580875396729,0.0582241453230381,0.3236515522003174,0.056244563311338425,0.3096190094947815,1.0,0.016249196603894234,0.05693738907575607,0.3114951252937317,0.2135075032711029,0.9524714946746826,0.052360277622938156
7,0.03442651033401489,0.2326378971338272,0.06810936331748962,0.3875597417354584,0.949999988079071,0.06802311539649963,0.06794387847185135,0.38664939999580383,4.999999873689376e-05,0.3300645053386688,0.7833333611488342,0.2169937789440155,0.05511297658085823,0.3192494809627533,0.0712629035115242,0.3416610360145569,1.0,0.012701625935733318,0.07159844040870667,0.3422915041446686,0.23887880146503448,0.9714828729629517,0.0390789769589901
8,0.03214281052350998,0.2553538382053375,0.017968473955988884,0.17938868701457977,1.0,0.011909125372767448,0.017990026623010635,0.18019656836986542,4.999999873689376e-05,0.11429060250520706,0.8500000238418579,0.0840110182762146,0.054298318922519684,0.31170743703842163,0.03361900895833969,0.2163001447916031,1.0,0.010124001652002335,0.03391381725668907,0.2173290252685547,0.13895684480667114,0.9980988502502441,0.033983051776885986
9,0.023888282477855682,0.21187587082386017,0.013952599838376045,0.12910829484462738,1.0,0.020691996440291405,0.013925467617809772,0.1290549635887146,4.999999873689376e-05,0.07817103713750839,0.8999999761581421,0.04417566955089569,0.05289898067712784,0.3052336573600769,0.024098332971334457,0.17563612759113312,1.0,0.008257078938186169,0.02428041584789753,0.17633338272571564,0.11060477793216705,0.9980988502502441,0.03043196350336075
